date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:05:25	2344416/2344416	---MCZ	200	added ('OK')	image/svg+xml	etag:%2223c5e0-673ec380-cbe43c93c1872bc3;gz%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/fa-light-300.svg	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/fa-light-300.svg	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/css/font-awesome.min.css)
17:05:25	482470/482470	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2275ca6-673ec380-f205c11128b396cb;gz%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/fa-light-300.eot	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/fa-light-300.eot	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/css/font-awesome.min.css)
17:05:26	170020/170020	---M--	200	added ('OK')	font/woff2	etag:%2229824-673ec380-9fe3b7b41db3d719;;;%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/fa-regular-400.woff2	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/fa-regular-400.woff2	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/css/font-awesome.min.css)
17:05:26	443920/443920	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%226c610-673ec380-7af0e68338c9fdae;gz%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/fa-regular-400.ttf	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/fa-regular-400.ttf	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/css/font-awesome.min.css)
17:05:28	225344/225344	---M--	200	added ('OK')	application/font-woff	etag:%2237040-673ec380-440ecee450ff1977;;;%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/fa-regular-400.woff	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/fa-regular-400.woff	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/css/font-awesome.min.css)
17:05:28	379262/379262	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%225c97e-673ec380-eaeee7f0c9012cb5;gz%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/fa-solid-900.eot	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/fa-solid-900.eot	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/css/font-awesome.min.css)
17:05:28	2095438/2095438	---MCZ	200	added ('OK')	image/svg+xml	etag:%221ff94e-673ec380-1fe64da0ef23eb11;gz%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/fa-regular-400.svg	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/fa-regular-400.svg	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/css/font-awesome.min.css)
17:05:28	137992/137992	---M--	200	added ('OK')	font/woff2	etag:%2221b08-673ec380-81cf15b102e495a3;;;%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/fa-solid-900.woff2	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/fa-solid-900.woff2	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/css/font-awesome.min.css)
17:05:28	184200/184200	---M--	200	added ('OK')	application/font-woff	etag:%222cf88-673ec380-3944fccf2ade8099;;;%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/fa-solid-900.woff	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/fa-solid-900.woff	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/css/font-awesome.min.css)
17:05:29	378980/378980	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%225c864-673ec380-3b1bd62a2a77b693;gz%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/fa-solid-900.ttf	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/fa-solid-900.ttf	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/css/font-awesome.min.css)
17:05:29	379262/379262	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%225c97e-673ec380-eaeee7f0c9012cb5;gz%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/fa-solid-900.eot?	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/fa-solid-900d41d.eot	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/css/font-awesome.min.css)
17:05:29	5840/5840	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%2216d0-673ec380-4c4268bdbc40e7a5;gz%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/lightcase.eot?55356177	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/lightcaseeead.eot	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/css/lightcase.css)
17:05:29	1714802/1714802	---MCZ	200	added ('OK')	image/svg+xml	etag:%221a2a72-673ec380-fcdfad74dd17290b;gz%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/fa-solid-900.svg	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/fa-solid-900.svg	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/css/font-awesome.min.css)
17:05:29	3160/3160	---M--	200	added ('OK')	application/font-woff	etag:%22c58-673ec380-c79b6f25764f40d6;;;%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/lightcase.woff?55356177	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/lightcaseeead.woff	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/css/lightcase.css)
17:05:30	5668/5668	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%221624-673ec380-25d26ca732a7d7c5;gz%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/lightcase.ttf?55356177	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/lightcaseeead.ttf	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/css/lightcase.css)
17:05:30	2782/2782	---M-Z	200	added ('OK')	image/svg+xml	etag:%22ade-673ec380-5150d0a0427d4596;gz%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/lightcase.svg?55356177	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/fonts/lightcaseeead.svg	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/css/lightcase.css)
17:05:30	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-6638afd5-8845e44009cace21;gz%22	https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/css/owl.video.play.png	C:/Users/Novox/Desktop/new-folder-new/web/html.storebuild.shop/cleanixer-prv/cleanixer/assets/css/owl.video.play.png	(from https://html.storebuild.shop/cleanixer-prv/cleanixer/assets/css/owl.carousel.min.css)
